review_rating,review_text,review_text_plus,review_text_minus,review_text_comment
5,"Достоинства:На ноге сидят красиво. Очень практичная подошва, то что будет соприкасатся с землёй тёмного цвета.
Недостатки:Чуть тяжеловаты, но не критично","На ноге сидят красиво. Очень практичная подошва, то что будет соприкасатся с землёй тёмного цвета.","Чуть тяжеловаты, но не критично",Нет
5,Достоинства:Очень крутая и качественная модель,Очень крутая и качественная модель,Нет,Нет
4,"Достоинства:Натуральная кожа, дизайн, размер
Недостатки:Твердая подошва
Комментарий:Дубовая подошва, как будто не спортивная обувь, а классические туфли на каблуке, ходишь и стучишь пятками. Но в целом смотрятся отлично и удобные","Натуральная кожа, дизайн, размер",Твердая подошва,"Дубовая подошва, как будто не спортивная обувь, а классические туфли на каблуке, ходишь и стучишь пятками. Но в целом смотрятся отлично и удобные"
5,"Достоинства:Обалденные качество как материала(нат кожа,","Обалденные качество как материала(нат кожа,",Нет,Нет
5,Выглядят отлично! Сделаны качественно! Для меня не тяжелые. Ходить хорошо. Мягкие. Ношу две недели - полет нормальный,Нет,Нет,Выглядят отлично! Сделаны качественно! Для меня не тяжелые. Ходить хорошо. Мягкие. Ношу две недели - полет нормальный
5,"Достоинства:Качество, цвет, модель.
Недостатки:На ногу 29 см не подошёл самый большой размер в линейке. Хотелось бы эти кросовки очень в размере 46, 46.5 :)","Качество, цвет, модель.","На ногу 29 см не подошёл самый большой размер в линейке. Хотелось бы эти кросовки очень в размере 46, 46.5 :)",Нет
5,"Достоинства:Классные кеды, быстрая доставка, размер подошёл.
Недостатки:Придерживаюсь мнения в предыдущих отзывах; дубовая подошва.
Комментарий:Не буду снимать звезду за соотношение цены/качества,в надежде что подошва не лопнет.","Классные кеды, быстрая доставка, размер подошёл.",Придерживаюсь мнения в предыдущих отзывах; дубовая подошва.,"Не буду снимать звезду за соотношение цены/качества,в надежде что подошва не лопнет."
4,"Достоинства:Хорошо упакован.
Недостатки:Тяжёлые.
Комментарий:Отказ.",Хорошо упакован.,Тяжёлые.,Отказ.
5,"Достоинства:Удивительно, но эти молодежные кроссовки подошли мне на супер широкую ногу! Фантастика! И натуральная кожа! Очень рекомендую. Дополню отзыв через полгода после покупки.....","Удивительно, но эти молодежные кроссовки подошли мне на супер широкую ногу! Фантастика! И натуральная кожа! Очень рекомендую. Дополню отзыв через полгода после покупки.....",Нет,Нет
5,"Достоинства:Качество
Недостатки:Нет
Комментарий:Очень удобные 👍 стелька огонь 🔥",Качество,Нет,Очень удобные 👍 стелька огонь 🔥
5,Достоинства:Отличные.,Отличные.,Нет,Нет
5,Достоинства:За эти деньги просто подарок,За эти деньги просто подарок,Нет,Нет
3,"Недостатки:Задник разноуровневый, брак. Жесткая и тяжёлая подошва.
Комментарий:На ноге смотрятся хорошо, если не обращать внимания на не достатки,которые заметили только дома. Возвращать не стали.",Нет,"Задник разноуровневый, брак. Жесткая и тяжёлая подошва.","На ноге смотрятся хорошо, если не обращать внимания на не достатки,которые заметили только дома. Возвращать не стали."
5,"Достоинства:Качественные, красивые , стильные , кожа✅
Недостатки:Их нет","Качественные, красивые , стильные , кожа✅",Их нет,Нет
5,"Достоинства:удобные
Недостатки:нет
Комментарий:норм кроссовки, полномерки👍🏻",удобные,нет,"норм кроссовки, полномерки👍🏻"
5,Отличные кроссовки! Рекомендую!,Нет,Нет,Отличные кроссовки! Рекомендую!
1,"Достоинства:Кроссовки очень удобные, заказывали ещё летом, но отказались, так как они показались очень тёплыми, поэтому добавила в отложенное и перезаказали их, забрали 10 октября.
Недостатки:Вонь
Комментарий:Пишу отзыв спустя месяц, 13 ноября. Уже спустя несколько дней кроссовки стали пованивать, спустя месяц они просто, простите, смердят на весь коридор. Я очень сильно сомневаюсь, что это натуральная кожа. Мы неоднократно заказывали кроссовки на сезон из ненатуральной кожи и других материалов, но вони, да и просто запахов, никогда не было. Погода стояла сухая, они нигде не промокали, но на другой сезон их явно не оставишь. Крайне разочарованы покупкой, потому что дальнейшему использованию они не подлежат, будучи оружием массового поражения. Отдав за них больше 4 тысяч, крайне разочарована и не рекомендую к покупке, но надо отдать им должное - вид у них такой же, как и был при покупке, поэтому фотографии прилагать смысла нет, вонь они не передадут.","Кроссовки очень удобные, заказывали ещё летом, но отказались, так как они показались очень тёплыми, поэтому добавила в отложенное и перезаказали их, забрали 10 октября.",Вонь,"Пишу отзыв спустя месяц, 13 ноября. Уже спустя несколько дней кроссовки стали пованивать, спустя месяц они просто, простите, смердят на весь коридор. Я очень сильно сомневаюсь, что это натуральная кожа. Мы неоднократно заказывали кроссовки на сезон из ненатуральной кожи и других материалов, но вони, да и просто запахов, никогда не было. Погода стояла сухая, они нигде не промокали, но на другой сезон их явно не оставишь. Крайне разочарованы покупкой, потому что дальнейшему использованию они не подлежат, будучи оружием массового поражения. Отдав за них больше 4 тысяч, крайне разочарована и не рекомендую к покупке, но надо отдать им должное - вид у них такой же, как и был при покупке, поэтому фотографии прилагать смысла нет, вонь они не передадут."
1,"Поначалу думал, что классные. Ровно неделя, появились трещины. Сдал по браку. Настоятельно не советую! Уважаемый продавец, какой смысл продавать такой товар?",Нет,Нет,"Поначалу думал, что классные. Ровно неделя, появились трещины. Сдал по браку. Настоятельно не советую! Уважаемый продавец, какой смысл продавать такой товар?"
5,Не подошёл размер,Нет,Нет,Не подошёл размер
5,Достоинства:хорошего качества),хорошего качества),Нет,Нет
4,"Достоинства:Качественно сшиты
Недостатки:Тяжёлые, узкие, стелька неудобная",Качественно сшиты,"Тяжёлые, узкие, стелька неудобная",Нет
4,"Достоинства:Аккуратно сшиты, нитки не торчат, симпатичные
Недостатки:Очень тяжёлые, на узкую ногу, неудобная стелька","Аккуратно сшиты, нитки не торчат, симпатичные","Очень тяжёлые, на узкую ногу, неудобная стелька",Нет
5,"Достоинства:шикарные кроссовки, удобные легкие, ноге комфортно, рекомендуем","шикарные кроссовки, удобные легкие, ноге комфортно, рекомендуем",Нет,Нет
2,"Достоинства:Приличные с виду
Недостатки:Неудобные
Комментарий:Абсолютно дубовые. Тяжелые. Странно что маскотт такое сделал",Приличные с виду,Неудобные,Абсолютно дубовые. Тяжелые. Странно что маскотт такое сделал
5,"Кеды отличные, ошиблись с размером, перезаказ",Нет,Нет,"Кеды отличные, ошиблись с размером, перезаказ"
5,Достоинства:Кроссовки бомба))) Качество 🔥 Доволен на все 100,Кроссовки бомба))) Качество 🔥 Доволен на все 100,Нет,Нет
4,Недостатки:Размер не подошел,Нет,Размер не подошел,Нет
5,"Достоинства:Очень удобная стелька
Комментарий:Материал спилок . Очень мягкая стелька",Очень удобная стелька,Нет,Материал спилок . Очень мягкая стелька
5,Достоинства:Хорошие,Хорошие,Нет,Нет
5,"Достоинства:Качество хорошее
Комментарий:По ширине не подошли, палец упирался",Качество хорошее,Нет,"По ширине не подошли, палец упирался"
